"","Grouping","Sample Code","Culture Variable","Pre-acidification","Make Date","Milk Protein","Milk Fat","Milk P:F","Milk Acidity","Culture inoc rate","Response","value"
"123","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Fruity","0.05"
"124","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Whey Taint","0.15"
"125","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Astringent","1.62"
"126","Sensory Data","02022023-1-1-BS","BS","No","44957","3.68","4.32","0.85185185185185186","14.9","6.4999999999999997E-3","Others","0.3"
"127","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Coagulation pH","6.47"
"128","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Coagulation time (minutes)","18.466666666666665"
"129","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Whey removal pH","6.2"
"130","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Mill pH","5.41"
"131","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Inoc_PO Time","140"
"132","Process Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Inoc_Mill Time","225"
"133","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Moisture%","35.46"
"134","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Protein%","26.25"
"135","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Fat%","32.96"
"136","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","FDB","0.51069104431360401"
"137","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","MFFS","0.52893794749403344"
"138","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Salt%","1.78"
"139","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","S/M","5.0197405527354765E-2"
"140","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Ca","7.6299999999999996E-3"
"141","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Initial Cheese pH","5.07"
"142","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","%NPN/TN","9.1047619047619058E-2"
"143","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","%NCN/TN","0.17714285714285716"
"144","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Total FFA%","2.4E-2"
"145","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Glutamic Acid","1.63"
"146","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Leucine","1.52"
"147","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Lysine","0.53900000000000003"
"148","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Aliphatic/acidc ratio","5.3017751479289945"
"149","Biochemical Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Total FAA (mg/g)","7.4509999999999996"
"150","Sensory Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Hand Firmness","12.15"
"151","Sensory Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Cohesiveness of Mass","1.75"
"152","Sensory Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Adhesiveness","8.9600000000000009"
"153","Sensory Data","02022023-1-1-DVI","DVI","Yes","44957","3.68","4.32","0.85185185185185186","14.9","2.5799999999999998E-4","Chewiness","5.56"
